slug,name,name_zh,source_url,entity_id,method,confidence,matched_label,matched_description
erling-haaland,Erling Haaland,埃尔林·哈兰德,https://www.wikidata.org/wiki/Q28967995,Q28967995,wikidata-zh-label,high,埃尔林·哈兰德,Norwegian footballer (born 2000)
alexia-putellas-segura,Alexia Putellas Segura,阿莱克西娅·普特利亚斯,https://www.wikidata.org/wiki/Q4721366,Q4721366,wikidata-zh-label,high,阿莱克西娅·普特利亚斯,Spanish footballer
kylian-mbappe,Kylian Mbappé,基利安·姆巴佩,https://www.wikidata.org/wiki/Q21621995,Q21621995,wikidata-zh-label,high,基利安·姆巴佩,French association football player (born 1998)
khadija-shaw,Khadija Shaw,卡蒂嘉·肖,https://www.wikidata.org/wiki/Q57915853,Q57915853,wikidata-zh-label,high,卡蒂嘉·肖,Jamaican association football player
ousmane-dembele,Ousmane Dembélé,奥斯曼·登贝莱,https://www.wikidata.org/wiki/Q20851003,Q20851003,wikidata-zh-label,high,奥斯曼·登贝莱,French footballer (born 1997)
harry-kane,Harry Kane,哈里·凯恩,https://www.wikidata.org/wiki/Q969725,Q969725,wikidata-zh-label,high,哈里·凯恩,English association football player (born 1993)
michael-olise,Michael Olise,米高·奥利斯,https://www.wikidata.org/wiki/Q62050484,Q62050484,wikidata-zh-label,high,米高·奧利斯,French footballer (born 2001)
lamine-yamal-nasraoui-ebana,Lamine Yamal Nasraoui Ebana,拉明·亚马尔,https://www.wikidata.org/wiki/Q113704154,Q113704154,wikidata-zh-label,high,拉明·亚马尔,Spanish association football player (born 2007)
jude-bellingham,Jude Bellingham,祖德·贝林厄姆,https://www.wikidata.org/wiki/Q66241169,Q66241169,wikidata-zh-label,high,祖德·贝林厄姆,English footballer (born 2003)
caroline-graham-hansen,Caroline Graham Hansen,卡罗琳·格拉汉姆·汉森,https://www.wikidata.org/wiki/Q5045087,Q5045087,wikidata-zh-label,high,卡罗琳·格拉汉姆·汉森,Norwegian footballer
ewa-pajor,Ewa Pajor,艾娃·帕约尔,https://www.wikidata.org/wiki/Q14436798,Q14436798,wikidata-zh-label,high,艾娃·帕约尔,Polish association football player
claudia-pina-medina,Claudia Pina Medina,克劳蒂亚·皮纳,https://www.wikidata.org/wiki/Q47415754,Q47415754,wikidata-zh-label,high,克勞蒂亞·皮納,association football player
temwa-chawinga,Temwa Chawinga,特姆瓦·查温佳,https://www.wikidata.org/wiki/Q62831033,Q62831033,wikidata-zh-label,high,特姆瓦·查温佳,Malawian association football player
lionel-messi,Lionel Messi,利昂内尔·梅西,https://www.wikidata.org/wiki/Q615,Q615,wikidata-zh-label,high,利昂内尔·梅西,Argentine association football player (born 1987)
khvicha-kvaratskhelia,Khvicha Kvaratskhelia,科维查·克瓦拉茨赫利亚,https://www.wikidata.org/wiki/Q61780902,Q61780902,wikidata-zh-label,high,科维查·克瓦拉茨赫利亚,Georgian footballer (born 2001)
vinicius-jose-de-oliveira-junior,Vinícius José de Oliveira Júnior,维尼修斯·儒尼奥尔,https://zh.wikipedia.org/wiki/维尼修斯·儒尼奥尔,,researched-standard-name,high,,
klara-buhl,Klara Bühl,克拉拉·比尔,https://www.wikidata.org/wiki/Q27077870,Q27077870,wikidata-zh-label,high,克拉拉·比尔,German association football player
alessia-russo,Alessia Russo,阿莱西娅·鲁索,https://www.wikidata.org/wiki/Q27450000,Q27450000,wikidata-zh-label,review,阿萊西婭·魯索,English footballer (born 1999)
sophia-wilson,Sophia Wilson,索菲亚·史密斯,https://www.wikidata.org/wiki/Q29074804,Q29074804,wikidata-zh-label,high,索菲亞·史密斯,American soccer player
melchie-dumornay,Melchie Dumornay,,https://www.wikidata.org/wiki/Q83632876,Q83632876,unresolved,unresolved,Melchie Dumornay,Haitian association football player
barbra-banda,Barbra Banda,芭芭拉·班达,https://www.wikidata.org/wiki/Q60634124,Q60634124,wikidata-zh-label,high,芭芭拉·班达,Zambian association football player
luis-diaz,Luis Díaz,路易斯·迪亚斯,https://www.wikidata.org/wiki/Q28531111,Q28531111,wikidata-zh-label,review,路易斯·迪亚斯,Colombian association football player (born 1997)
raphael-dias-belloli,Raphael Dias Belloli,拉菲尼亚,https://www.wikidata.org/wiki/Q28861547,Q28861547,wikidata-zh-label,high,拉菲尼亚,Brazilian association football player (born 1996)
debora-c-de-oliveira,Débora C. de Oliveira,德比妮亚,https://zh.wikipedia.org/wiki/德比妮亞,,researched-standard-name,high,,
kadidiatou-diani,Kadidiatou Diani,卡迪迪娅图·迪亚尼,https://www.wikidata.org/wiki/Q3191779,Q3191779,wikidata-zh-label,high,卡迪迪婭圖·迪亞尼,French association football player
rose-lavelle,Rose Lavelle,罗丝·拉韦尔,https://www.wikidata.org/wiki/Q22006196,Q22006196,wikidata-zh-label,high,罗丝·拉韦尔,American soccer player
vivianne-miedema,Vivianne Miedema,薇薇安·米德马,https://www.wikidata.org/wiki/Q2754626,Q2754626,wikidata-zh-label,high,薇薇安·米德马,Dutch footballer
lauren-hemp,Lauren Hemp,劳伦·亨普,https://www.wikidata.org/wiki/Q48688219,Q48688219,wikidata-zh-label,high,劳伦·亨普,English association football player (born 2000)
pernille-harder,Pernille Harder,佩妮莱·哈德,https://www.wikidata.org/wiki/Q7169410,Q7169410,wikidata-zh-label,review,佩妮莱·哈德,Danish footballer
bukayo-saka,Bukayo Saka,布卡约·萨卡,https://www.wikidata.org/wiki/Q59306386,Q59306386,wikidata-zh-label,high,布卡约·萨卡,English footballer (born 2001)
jamal-musiala,Jamal Musiala,贾迈勒·穆西亚拉,https://www.wikidata.org/wiki/Q96072055,Q96072055,wikidata-zh-label,high,贾迈勒·穆西亚拉,German footballer (born 2003)
lautaro-martinez,Lautaro Martínez,劳塔罗·马丁内斯,https://www.wikidata.org/wiki/Q21484126,Q21484126,wikidata-zh-label,high,劳塔罗·马丁内斯,Argentine association football player (born 1997)
